ParticipantNumber,Mean_Block1_Seq5,Mean_Block1_Seq6,Mean_Block1_Seq7,Mean_Block1_Seq8,Mean_Block2_Seq5,Mean_Block2_Seq6,Mean_Block2_Seq7,Mean_Block2_Seq8,Mean_Block3_Seq5,Mean_Block3_Seq6,Mean_Block3_Seq7,Mean_Block3_Seq8,Mean_Block4_Seq5,Mean_Block4_Seq6,Mean_Block4_Seq7,Mean_Block4_Seq8
1,42.8571428571429,57.1428571428571,46.9387755102041,30.3571428571429,71.4285714285714,54.7619047619048,38.7755102040816,41.0714285714286,54.2857142857143,64.2857142857143,30.6122448979592,33.9285714285714,74.2857142857143,28.5714285714286,57.1428571428571,26.7857142857143
2,65.7142857142857,47.6190476190476,44.8979591836735,41.0714285714286,94.2857142857143,78.5714285714286,48.9795918367347,26.7857142857143,80,69.0476190476191,26.530612244898,42.8571428571429,80,73.8095238095238,44.8979591836735,35.7142857142857
3,77.1428571428571,66.6666666666667,79.5918367346939,44.6428571428571,85.7142857142857,92.8571428571429,63.265306122449,50,82.8571428571429,64.2857142857143,44.8979591836735,67.8571428571429,80,52.3809523809524,46.9387755102041,10.7142857142857
4,88.5714285714286,78.5714285714286,75.5102040816327,30.3571428571429,100,83.3333333333333,59.1836734693878,28.5714285714286,100,88.0952380952381,77.5510204081633,42.8571428571429,100,100,40.8163265306122,64.2857142857143
5,91.4285714285714,80.9523809523809,6.12244897959184,28.5714285714286,85.7142857142857,42.8571428571429,42.8571428571429,21.4285714285714,100,54.7619047619048,24.4897959183673,14.2857142857143,54.2857142857143,16.6666666666667,63.265306122449,42.8571428571429
6,34.2857142857143,26.1904761904762,20.4081632653061,17.8571428571429,80,59.5238095238095,26.530612244898,50,51.4285714285714,69.0476190476191,53.0612244897959,23.2142857142857,100,57.1428571428571,28.5714285714286,48.2142857142857
7,80,71.4285714285714,73.469387755102,30.3571428571429,94.2857142857143,52.3809523809524,55.1020408163265,35.7142857142857,80,57.1428571428571,51.0204081632653,30.3571428571429,80,50,48.9795918367347,14.2857142857143
8,80,64.2857142857143,40.8163265306122,23.2142857142857,80,76.1904761904762,24.4897959183673,44.6428571428571,82.8571428571429,78.5714285714286,40.8163265306122,19.6428571428571,88.5714285714286,54.7619047619048,85.7142857142857,30.3571428571429
9,100,80.952380952381,67.3469387755102,37.5,100,71.4285714285714,67.3469387755102,57.1428571428571,74.2857142857143,88.0952380952381,85.7142857142857,48.2142857142857,100,100,91.8367346938776,66.0714285714286
10,80,76.1904761904762,81.6326530612245,58.9285714285714,85.7142857142857,80.9523809523809,67.3469387755102,23.2142857142857,80,59.5238095238095,44.8979591836735,17.8571428571429,88.5714285714286,61.9047619047619,53.0612244897959,57.1428571428571
11,77.1428571428571,52.3809523809524,69.3877551020408,32.1428571428571,94.2857142857143,80.9523809523809,36.734693877551,39.2857142857143,71.4285714285714,100,57.1428571428571,55.3571428571429,100,90.4761904761905,89.7959183673469,66.0714285714286
12,80,59.5238095238095,32.6530612244898,44.6428571428571,88.5714285714286,66.6666666666667,77.5510204081633,42.8571428571429,82.8571428571429,54.7619047619048,63.265306122449,35.7142857142857,100,71.4285714285714,85.7142857142857,62.5
13,82.8571428571429,85.7142857142857,65.3061224489796,37.5,85.7142857142857,64.2857142857143,46.9387755102041,28.5714285714286,100,66.6666666666667,32.6530612244898,37.5,100,85.7142857142857,63.265306122449,82.1428571428571
14,60,35.7142857142857,36.734693877551,19.6428571428571,77.1428571428571,73.8095238095238,44.8979591836735,26.7857142857143,88.5714285714286,88.0952380952381,40.8163265306122,10.7142857142857,82.8571428571429,57.1428571428571,46.9387755102041,21.4285714285714
15,85.7142857142857,71.4285714285714,53.0612244897959,42.8571428571429,94.2857142857143,19.047619047619,40.8163265306122,17.8571428571429,77.1428571428571,85.7142857142857,28.5714285714286,28.5714285714286,74.2857142857143,92.8571428571429,85.7142857142857,50
16,60,33.3333333333333,14.2857142857143,14.2857142857143,25.7142857142857,19.047619047619,8.16326530612245,10.7142857142857,42.8571428571429,26.1904761904762,24.4897959183673,7.14285714285714,45.7142857142857,33.3333333333333,14.2857142857143,10.7142857142857
17,100,100,53.0612244897959,35.7142857142857,100,100,89.7959183673469,69.6428571428571,85.7142857142857,78.5714285714286,42.8571428571428,48.2142857142857,100,76.1904761904762,44.8979591836735,19.6428571428571
18,88.5714285714286,88.0952380952381,55.1020408163265,28.5714285714286,85.7142857142857,59.5238095238095,75.5102040816327,26.7857142857143,85.7142857142857,66.6666666666667,48.9795918367347,21.4285714285714,28.5714285714286,76.1904761904762,48.9795918367347,37.5
19,82.8571428571429,54.7619047619048,34.6938775510204,10.7142857142857,71.4285714285714,57.1428571428571,26.530612244898,25,57.1428571428571,66.6666666666667,38.7755102040816,5.35714285714286,88.5714285714286,57.1428571428571,53.0612244897959,37.5
20,88.5714285714286,59.5238095238095,30.6122448979592,28.5714285714286,40,66.6666666666667,10.2040816326531,46.4285714285714,80,47.6190476190476,67.3469387755102,30.3571428571429,62.8571428571429,38.0952380952381,14.2857142857143,10.7142857142857
21,42.8571428571429,40.4761904761905,20.4081632653061,23.2142857142857,65.7142857142857,69.0476190476191,40.8163265306122,12.5,100,59.5238095238095,44.8979591836735,23.2142857142857,62.8571428571429,76.1904761904762,28.5714285714286,30.3571428571429
22,71.4285714285714,26.1904761904762,22.4489795918367,17.8571428571429,62.8571428571429,50,14.2857142857143,25,71.4285714285714,35.7142857142857,38.7755102040816,12.5,82.8571428571429,57.1428571428571,63.265306122449,8.92857142857143
23,14.2857142857143,30.952380952381,8.16326530612245,16.0714285714286,20,14.2857142857143,18.3673469387755,7.14285714285714,45.7142857142857,50,0,16.0714285714286,20,0,8.16326530612245,0
24,0,9.52380952380952,0,0,0,0,0,0,8.57142857142857,0,26.530612244898,0,28.5714285714286,0,0,0
25,14.2857142857143,0,0,0,0,2.38095238095238,0,5.35714285714286,14.2857142857143,0,6.12244897959184,0,0,0,0,0
26,0,16.6666666666667,0,0,0,0,0,0,0,7.14285714285714,0,1.78571428571429,0,0,0,0
27,0,0,14.2857142857143,0,22.8571428571429,21.4285714285714,14.2857142857143,0,20,0,0,0,28.5714285714286,0,0,0
28,5.71428571428571,0,0,0,25.7142857142857,2.38095238095238,0,1.78571428571429,2.85714285714286,0,0,0,14.2857142857143,9.52380952380952,0,0
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,14.2857142857143,0,2.04081632653061,1.78571428571429,0,0,2.04081632653061,0,5.71428571428571,2.38095238095238,2.04081632653061,0,0,0,0,0
31,100,16.6666666666667,6.12244897959184,5.35714285714286,28.5714285714286,19.047619047619,6.12244897959184,3.57142857142857,25.7142857142857,14.2857142857143,4.08163265306122,0,0,2.38095238095238,2.04081632653061,5.35714285714286
32,45.7142857142857,28.5714285714286,14.2857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0
33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,0,0,0,0,14.2857142857143,0,0,5.35714285714286,0,0,0,0,0,0,0,0
36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,14.2857142857143,0,6.12244897959184,0,0,0,0,0,8.57142857142857,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,65.7142857142857,47.6190476190476,48.9795918367347,35.7142857142857,42.8571428571429,2.38095238095238,0,1.78571428571429,0,0,0,0,5.71428571428571,0,4.08163265306122,1.78571428571429
40,14.2857142857143,2.38095238095238,8.16326530612245,3.57142857142857,0,0,0,0,28.5714285714286,16.6666666666667,14.2857142857143,0,57.1428571428571,16.6666666666667,6.12244897959184,14.2857142857143
41,5.71428571428571,14.2857142857143,6.12244897959184,0,57.1428571428571,14.2857142857143,8.16326530612245,8.92857142857143,14.2857142857143,14.2857142857143,0,0,28.5714285714286,4.76190476190476,6.12244897959184,16.0714285714286
